,PeakLeft,ActivationLeft,DeactivationLeft,PeakRight,ActivationRight,DeactivationRight,MeanLeft,MeanRight,Label
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.20793999999999999,0.02705,0.9587700000000001,0.21354,0.027410000000000004,0.9412,0.29028,0.8128799999999999,0.5
std,0.03712053790470087,0.038249974647842064,0.09481654537725619,0.044267686047816286,0.03674155470093559,0.07588622219295621,0.5075162010165728,0.44458853400033227,0.5002501876563868
min,0.0,-0.2,-0.2,0.0,-0.06,-0.06,-0.94,-0.99,0.0
25%,0.19,0.0,0.96,0.19,0.0,0.91,-0.05,1.0,0.0
50%,0.21,0.01,0.99,0.22,0.0,0.96,0.2,1.0,0.5
75%,0.23,0.05,0.99,0.24,0.05,0.99,0.81,1.0,1.0
max,0.42,0.25,0.99,0.41,0.17,0.99,1.0,1.0,1.0
